YEAR,MONTH,DAY,TOTAL
2015,Jan,23,100.9
2015,Jan,24,101.84
2015,Jan,25,102.71
2015,Jan,26,99.92
2015,Jan,27,100.78
2015,Jan,28,101.71
2015,Jan,29,102.65
2015,Jan,30,103.55
2015,Jan,31,102.13
2015,Feb,1,105.14
2015,Feb,2,106.03
2015,Feb,3,104.63
2015,Feb,4,103.76
2015,Feb,5,98.49
2015,Feb,6,99.05
2015,Feb,7,102.21
2015,Feb,8,103.16
2015,Feb,9,101.57
2015,Feb,10,102.16
2015,Feb,11,102.49
2015,Feb,12,103.3
2015,Feb,13,106.39
2015,Feb,14,94.54
2015,Feb,15,93.72
2015,Feb,16,94.59
2015,Feb,17,92.97
2015,Feb,18,90.49
2015,Feb,19,93.71
2015,Feb,20,94.67
2015,Feb,21,91.47
2015,Feb,22,90.34
2015,Feb,23,87.19
2015,Feb,24,88.09
2015,Feb,25,88.69
2015,Feb,26,91.96
2015,Feb,27,92.99
2015,Feb,28,91.48
2015,Mar,1,94.83
2015,Mar,2,95.87
2015,Mar,3,96.89
2015,Mar,5,99.03
2015,Mar,6,99.95
2015,Mar,7,101
2015,Mar,8,101.95
2015,Mar,9,102.81
2015,Mar,10,103.69
2015,Mar,11,104.79
2015,Mar,12,105.87
2015,Mar,13,104.38
2015,Mar,14,108.11
2015,Mar,15,109.31
2015,Mar,16,110.24
2015,Mar,17,105.36
2015,Mar,18,106.35
2015,Mar,19,107.19
2015,Mar,20,104.09
2015,Mar,21,99.31
2015,Mar,22,87.15
2015,Mar,23,82.9
2015,Mar,24,83.44
2015,Mar,25,84.04
2015,Mar,26,84.6
2015,Mar,27,85.09
2015,Mar,28,85.59
2015,Mar,29,86.29
2015,Mar,30,86.96
2015,Mar,31,87.44
2015,Apr,1,88.01
2015,Apr,2,88.43
2015,Apr,3,88.92
2015,Apr,4,88.64
2015,Apr,5,89.03
2015,Apr,6,89.58
2015,Apr,7,90.2
2015,Apr,8,90.64
2015,Apr,9,91.28
2015,Apr,10,91.77
2015,Apr,11,93.88
2015,Apr,12,94.4
2015,Apr,13,94.88
2015,Apr,14,95.49
2015,Apr,15,96.18
2015,Apr,16,96.71
2015,Apr,17,97.42
2015,Apr,18,97.73
2015,Apr,19,97.98
2015,Apr,20,98.65
2015,Apr,21,99.59
2015,Apr,22,98.85
2015,Apr,23,98.22
2015,Apr,24,98.79
2015,Apr,25,99.1
2015,Apr,26,99.59
2015,Apr,27,94.75
2015,Apr,28,95.42
2015,Apr,29,93.06
2015,Apr,30,93.45
2015,May,1,93.88
2015,May,2,94.26
2015,May,3,94.71
2015,May,4,95.21
2015,May,5,95.71
2015,May,6,90.85
2015,May,7,91.39
2015,May,8,91.17
2015,May,9,91.54
2015,May,10,91.94
2015,May,11,92.33
2015,May,12,90.44
2015,May,13,90.98
2015,May,14,91.41
2015,May,15,91.83
2015,May,16,92.19
2015,May,17,92.18
2015,May,18,92.6
2015,May,19,92.92
2015,May,20,93.38
2015,May,21,93.76
2015,May,22,94.13
2015,May,23,94.49
2015,May,24,94.88
2015,May,25,95.25
2015,May,26,95.63
2015,May,27,95.95
2015,May,28,96.29
2015,May,29,96.76
2015,May,30,97.21
2015,May,31,97.58
2015,Jun,1,98.11
2015,Jun,2,98.32
2015,Jun,3,98.59
2015,Jun,4,98.61
2015,Jun,5,98.97
2015,Jun,6,99.48
2015,Jun,7,99.59
2015,Jun,8,100.09
2015,Jun,9,100.44
2015,Jun,10,100.93
2015,Jun,11,101.49
2015,Jun,12,101.89
2015,Jun,13,102.44
2015,Jun,14,102.81
2015,Jun,15,102.49
2015,Jun,16,102.97
2015,Jun,17,103.47
2015,Jun,18,90.62
2015,Jun,19,90.74
2015,Jun,20,91.16
2015,Jun,21,91.44
2015,Jun,22,91.79
2015,Jun,23,92.23
2015,Jun,24,92.64
2015,Jun,25,95.84
2015,Jun,26,96.96
2015,Jun,27,96.81
2015,Jun,28,97.23
2015,Jun,29,97.44
2015,Jun,30,94.71
2015,Jul,1,95.16
2015,Jul,2,95.71
2015,Jul,3,96.19
2015,Jul,4,96.67
2015,Jul,5,96.65
2015,Jul,6,96.87
2015,Jul,7,97.15
2015,Jul,8,97.81
2015,Jul,9,98.6
2015,Jul,10,98.9
2015,Jul,11,99.66
2015,Jul,12,100.74
2015,Jul,13,101.59
2015,Jul,14,102.42
2015,Jul,15,102.99
2015,Jul,16,103.11
2015,Jul,17,103.97
2015,Jul,18,104.44
2015,Jul,19,104.86
2015,Jul,20,105.3
2015,Jul,21,105.84
2015,Jul,22,106.11
2015,Jul,23,106.61
2015,Jul,24,107.01
2015,Jul,25,107.36
2015,Jul,26,107.38
2015,Jul,27,107.75
2015,Jul,28,108.42
2015,Jul,29,112.38
2015,Jul,30,113.55
2015,Jul,31,114.14
2015,Aug,1,107.17
2015,Aug,2,107.7
2015,Aug,3,108.13
2015,Aug,4,108.38
2015,Aug,5,108.97
2015,Aug,6,109.65
2015,Aug,7,110.38
2015,Aug,8,110.97
2015,Aug,9,112.27
2015,Aug,10,111.82
2015,Aug,11,112.51
2015,Aug,12,113.29
2015,Aug,13,111.72
2015,Aug,14,110.5
2015,Aug,15,111.31
2015,Aug,16,111.78
2015,Aug,17,112.34
2015,Aug,18,112.84
2015,Aug,19,110.23
2015,Aug,20,107.67
2015,Aug,21,108.23
2015,Aug,22,108.8
2015,Aug,23,109.34
2015,Aug,24,109.82
2015,Aug,25,110.76
2015,Aug,26,111.53
2015,Aug,27,112.22
2015,Aug,28,112.91
2015,Aug,29,111.94
2015,Aug,30,109.66
2015,Aug,31,111
2015,Sep,1,111.41
2015,Sep,2,112.23
2015,Sep,3,113.03
2015,Sep,4,113.59
2015,Sep,5,114.22
2015,Sep,6,114.88
